time,baseflow_month_CNRM-CM5_rcp85
2029-03-31 00:00:00+00:00,0.17039756
2029-04-30 00:00:00+00:00,0.08786613
2029-05-31 00:00:00+00:00,0.058443412
2029-06-30 00:00:00+00:00,0.04644985
2029-07-31 00:00:00+00:00,0.039950553
2029-08-31 00:00:00+00:00,0.037216235
2029-09-30 00:00:00+00:00,0.036735497
2029-10-31 00:00:00+00:00,0.036428627
2029-11-30 00:00:00+00:00,0.035891797
2029-12-31 00:00:00+00:00,0.0354153
2030-01-31 00:00:00+00:00,0.03870007
2030-02-28 00:00:00+00:00,0.03944695
2030-03-31 00:00:00+00:00,0.04700685
2030-04-30 00:00:00+00:00,0.040826857
2030-05-31 00:00:00+00:00,0.0443825
2030-06-30 00:00:00+00:00,0.036323164
2030-07-31 00:00:00+00:00,0.03414695
2030-08-31 00:00:00+00:00,0.033477258
2030-09-30 00:00:00+00:00,0.03304357
2030-10-31 00:00:00+00:00,0.032701466
2030-11-30 00:00:00+00:00,0.03254906
2030-12-31 00:00:00+00:00,0.03372321
2031-01-31 00:00:00+00:00,0.1644811
2031-02-28 00:00:00+00:00,0.19362824
2031-03-31 00:00:00+00:00,0.22098204
2031-04-30 00:00:00+00:00,0.106017336
2031-05-31 00:00:00+00:00,0.061219342
2031-06-30 00:00:00+00:00,0.04031881
2031-07-31 00:00:00+00:00,0.03494882
2031-08-31 00:00:00+00:00,0.03357574
2031-09-30 00:00:00+00:00,0.03314226
2031-10-31 00:00:00+00:00,0.03409324
2031-11-30 00:00:00+00:00,0.04031786
2031-12-31 00:00:00+00:00,0.15500455
2032-01-31 00:00:00+00:00,0.6459678
2032-02-29 00:00:00+00:00,0.44253933
2032-03-31 00:00:00+00:00,0.36559266
2032-04-30 00:00:00+00:00,0.16909407
2032-05-31 00:00:00+00:00,0.106812574
2032-06-30 00:00:00+00:00,0.06679782
2032-07-31 00:00:00+00:00,0.048122626
2032-08-31 00:00:00+00:00,0.0415256
2032-09-30 00:00:00+00:00,0.03927481
2032-10-31 00:00:00+00:00,0.038624268
2032-11-30 00:00:00+00:00,0.03881749
2032-12-31 00:00:00+00:00,0.038852245
2033-01-31 00:00:00+00:00,0.042506617
2033-02-28 00:00:00+00:00,0.06516987
2033-03-31 00:00:00+00:00,0.073950306
2033-04-30 00:00:00+00:00,0.04967839
2033-05-31 00:00:00+00:00,0.04009613
2033-06-30 00:00:00+00:00,0.036707498
2033-07-31 00:00:00+00:00,0.035749223
2033-08-31 00:00:00+00:00,0.035276
2033-09-30 00:00:00+00:00,0.035368208
2033-10-31 00:00:00+00:00,0.0350026
2033-11-30 00:00:00+00:00,0.036293384
2033-12-31 00:00:00+00:00,0.038737692
2034-01-31 00:00:00+00:00,0.1979548
2034-02-28 00:00:00+00:00,0.14287268
2034-03-31 00:00:00+00:00,0.10269228
2034-04-30 00:00:00+00:00,0.060785607
2034-05-31 00:00:00+00:00,0.047773656
2034-06-30 00:00:00+00:00,0.04127541
2034-07-31 00:00:00+00:00,0.037630446
2034-08-31 00:00:00+00:00,0.0367707
2034-09-30 00:00:00+00:00,0.036274076
2034-10-31 00:00:00+00:00,0.035845328
2034-11-30 00:00:00+00:00,0.035585303
2034-12-31 00:00:00+00:00,0.038729444
2035-01-31 00:00:00+00:00,0.058342077
2035-02-28 00:00:00+00:00,0.08355189
2035-03-31 00:00:00+00:00,0.068052776
2035-04-30 00:00:00+00:00,0.04901099
2035-05-31 00:00:00+00:00,0.038069494
2035-06-30 00:00:00+00:00,0.034866255
2035-07-31 00:00:00+00:00,0.033838954
2035-08-31 00:00:00+00:00,0.03346766
2035-09-30 00:00:00+00:00,0.033174876
2035-10-31 00:00:00+00:00,0.032890018
2035-11-30 00:00:00+00:00,0.03260621
2035-12-31 00:00:00+00:00,0.034990143
2036-01-31 00:00:00+00:00,0.043645184
2036-02-29 00:00:00+00:00,0.50879097
2036-03-31 00:00:00+00:00,0.3332698
2036-04-30 00:00:00+00:00,0.15288278
2036-05-31 00:00:00+00:00,0.09100273
2036-06-30 00:00:00+00:00,0.056918375
2036-07-31 00:00:00+00:00,0.043987453
2036-08-31 00:00:00+00:00,0.039594207
2036-09-30 00:00:00+00:00,0.039055586
2036-10-31 00:00:00+00:00,0.03846315
2036-11-30 00:00:00+00:00,0.03775553
2036-12-31 00:00:00+00:00,0.037310727
2037-01-31 00:00:00+00:00,0.0470069
2037-02-28 00:00:00+00:00,0.051390726
2037-03-31 00:00:00+00:00,0.15277946
2037-04-30 00:00:00+00:00,0.14296535
2037-05-31 00:00:00+00:00,0.06469322
2037-06-30 00:00:00+00:00,0.046915807
2037-07-31 00:00:00+00:00,0.040163517
2037-08-31 00:00:00+00:00,0.038293496
2037-09-30 00:00:00+00:00,0.037189707
2037-10-31 00:00:00+00:00,0.036652632
2037-11-30 00:00:00+00:00,0.037024174
2037-12-31 00:00:00+00:00,0.03626102
2038-01-31 00:00:00+00:00,0.036691245
2038-02-28 00:00:00+00:00,0.047228105
2038-03-31 00:00:00+00:00,0.101047896
2038-04-30 00:00:00+00:00,0.061392874
2038-05-31 00:00:00+00:00,0.039298072
2038-06-30 00:00:00+00:00,0.03582695
2038-07-31 00:00:00+00:00,0.03354856
2038-08-31 00:00:00+00:00,0.032972444
2038-09-30 00:00:00+00:00,0.03256821
2038-10-31 00:00:00+00:00,0.032237727
2038-11-30 00:00:00+00:00,0.034250144
