time,et_month_CanESM2_rcp85
2032-11-30 00:00:00+00:00,0.10778504
2032-12-31 00:00:00+00:00,0.041097805
2033-01-31 00:00:00+00:00,0.64044017
2033-02-28 00:00:00+00:00,1.11916
2033-03-31 00:00:00+00:00,1.1785176
2033-04-30 00:00:00+00:00,0.85980713
2033-05-31 00:00:00+00:00,0.39058772
2033-06-30 00:00:00+00:00,0.20745073
2033-07-31 00:00:00+00:00,0.085376106
2033-08-31 00:00:00+00:00,0.03772595
2033-09-30 00:00:00+00:00,0.00444226
2033-10-31 00:00:00+00:00,0.009386372
2033-11-30 00:00:00+00:00,0.017337365
2033-12-31 00:00:00+00:00,0.05769774
2034-01-31 00:00:00+00:00,0.023267372
2034-02-28 00:00:00+00:00,0.44701546
2034-03-31 00:00:00+00:00,0.32539576
2034-04-30 00:00:00+00:00,0.5251616
2034-05-31 00:00:00+00:00,0.16405174
2034-06-30 00:00:00+00:00,0.040962778
2034-07-31 00:00:00+00:00,0.04212884
2034-08-31 00:00:00+00:00,0.51493526
2034-09-30 00:00:00+00:00,0.18763368
2034-10-31 00:00:00+00:00,0.01554129
2034-11-30 00:00:00+00:00,0.16969223
2034-12-31 00:00:00+00:00,0.22230232
2035-01-31 00:00:00+00:00,0.83408374
2035-02-28 00:00:00+00:00,1.019332
2035-03-31 00:00:00+00:00,1.3230264
2035-04-30 00:00:00+00:00,1.147053
2035-05-31 00:00:00+00:00,0.36953175
2035-06-30 00:00:00+00:00,0.13922396
2035-07-31 00:00:00+00:00,0.60538244
2035-08-31 00:00:00+00:00,0.71011686
2035-09-30 00:00:00+00:00,0.15451819
2035-10-31 00:00:00+00:00,0.04301767
2035-11-30 00:00:00+00:00,0.18026805
2035-12-31 00:00:00+00:00,0.09659467
2036-01-31 00:00:00+00:00,0.035098758
2036-02-29 00:00:00+00:00,0.3932559
2036-03-31 00:00:00+00:00,0.856043
2036-04-30 00:00:00+00:00,0.29471993
2036-05-31 00:00:00+00:00,0.061193105
2036-06-30 00:00:00+00:00,0.026683755
2036-07-31 00:00:00+00:00,0.28758863
2036-08-31 00:00:00+00:00,0.56854665
2036-09-30 00:00:00+00:00,0.57073826
2036-10-31 00:00:00+00:00,0.22033213
2036-11-30 00:00:00+00:00,0.084948584
2036-12-31 00:00:00+00:00,0.060621683
2037-01-31 00:00:00+00:00,0.30670688
2037-02-28 00:00:00+00:00,0.8331285
2037-03-31 00:00:00+00:00,0.8908371
2037-04-30 00:00:00+00:00,0.5497759
2037-05-31 00:00:00+00:00,0.24729483
2037-06-30 00:00:00+00:00,0.19462876
2037-07-31 00:00:00+00:00,0.26898873
2037-08-31 00:00:00+00:00,0.30938014
2037-09-30 00:00:00+00:00,0.314719
2037-10-31 00:00:00+00:00,0.27754855
2037-11-30 00:00:00+00:00,0.26015493
2037-12-31 00:00:00+00:00,0.08768968
2038-01-31 00:00:00+00:00,0.75075525
2038-02-28 00:00:00+00:00,0.850737
2038-03-31 00:00:00+00:00,1.038731
2038-04-30 00:00:00+00:00,0.6364649
2038-05-31 00:00:00+00:00,0.29731575
2038-06-30 00:00:00+00:00,0.086844295
2038-07-31 00:00:00+00:00,0.096549146
2038-08-31 00:00:00+00:00,0.45020935
2038-09-30 00:00:00+00:00,0.26532656
2038-10-31 00:00:00+00:00,0.20612167
2038-11-30 00:00:00+00:00,0.2606683
2038-12-31 00:00:00+00:00,0.12463508
2039-01-31 00:00:00+00:00,0.75382334
2039-02-28 00:00:00+00:00,0.6400569
2039-03-31 00:00:00+00:00,0.45238978
2039-04-30 00:00:00+00:00,0.42333263
2039-05-31 00:00:00+00:00,0.15591724
2039-06-30 00:00:00+00:00,0.074790135
2039-07-31 00:00:00+00:00,0.1982406
2039-08-31 00:00:00+00:00,0.24523218
2039-09-30 00:00:00+00:00,0.14784892
2039-10-31 00:00:00+00:00,0.07874346
2039-11-30 00:00:00+00:00,0.08254567
2039-12-31 00:00:00+00:00,0.02579339
2040-01-31 00:00:00+00:00,0.55573857
2040-02-29 00:00:00+00:00,0.6928455
2040-03-31 00:00:00+00:00,0.7305665
2040-04-30 00:00:00+00:00,0.4634402
2040-05-31 00:00:00+00:00,0.21192493
2040-06-30 00:00:00+00:00,0.10830091
2040-07-31 00:00:00+00:00,0.35652426
2040-08-31 00:00:00+00:00,0.62082195
2040-09-30 00:00:00+00:00,0.10530357
2040-10-31 00:00:00+00:00,0.033658057
2040-11-30 00:00:00+00:00,0.13929354
2040-12-31 00:00:00+00:00,0.63233465
2041-01-31 00:00:00+00:00,0.39296374
2041-02-28 00:00:00+00:00,0.90752685
2041-03-31 00:00:00+00:00,1.0325254
2041-04-30 00:00:00+00:00,0.6445263
2041-05-31 00:00:00+00:00,0.33770955
2041-06-30 00:00:00+00:00,0.20216908
2041-07-31 00:00:00+00:00,0.13834149
2041-08-31 00:00:00+00:00,1.6861964
2041-09-30 00:00:00+00:00,0.5421097
2041-10-31 00:00:00+00:00,0.08094469
2041-11-30 00:00:00+00:00,0.16587058
2041-12-31 00:00:00+00:00,0.17568043
2042-01-31 00:00:00+00:00,0.77912384
2042-02-28 00:00:00+00:00,0.80047625
2042-03-31 00:00:00+00:00,1.2922093
2042-04-30 00:00:00+00:00,0.52600455
2042-05-31 00:00:00+00:00,0.25237805
2042-06-30 00:00:00+00:00,0.1815414
2042-07-31 00:00:00+00:00,0.20660841
2042-08-31 00:00:00+00:00,0.10848592
2042-09-30 00:00:00+00:00,0.085865244
2042-10-31 00:00:00+00:00,0.034604184
2042-11-30 00:00:00+00:00,0.06353297
2042-12-31 00:00:00+00:00,0.21532473
2043-01-31 00:00:00+00:00,0.09301819
2043-02-28 00:00:00+00:00,0.13504615
2043-03-31 00:00:00+00:00,0.29621482
2043-04-30 00:00:00+00:00,0.06655721
2043-05-31 00:00:00+00:00,0.026851878
2043-06-30 00:00:00+00:00,0.0110428035
2043-07-31 00:00:00+00:00,0.37565377
2043-08-31 00:00:00+00:00,0.22542201
2043-09-30 00:00:00+00:00,0.06964197
2043-10-31 00:00:00+00:00,0.051756363
2043-11-30 00:00:00+00:00,0.09932193
2043-12-31 00:00:00+00:00,0.20554805
2044-01-31 00:00:00+00:00,0.09441647
2044-02-29 00:00:00+00:00,0.25689405
2044-03-31 00:00:00+00:00,0.29488364
2044-04-30 00:00:00+00:00,0.23092577
2044-05-31 00:00:00+00:00,0.092719205
2044-06-30 00:00:00+00:00,0.020578865
2044-07-31 00:00:00+00:00,0.24229725
2044-08-31 00:00:00+00:00,0.70260364
2044-09-30 00:00:00+00:00,0.20131403
2044-10-31 00:00:00+00:00,0.079318285
2044-11-30 00:00:00+00:00,0.051567614
2044-12-31 00:00:00+00:00,0.7288612
2045-01-31 00:00:00+00:00,0.9958921
2045-02-28 00:00:00+00:00,0.76074195
2045-03-31 00:00:00+00:00,1.3416156
2045-04-30 00:00:00+00:00,0.8761095
2045-05-31 00:00:00+00:00,0.4815059
