time,et_day_livneh_vic
1950-09-06 00:00:00+00:00,2.4500573
1950-09-07 00:00:00+00:00,0.8777163
1950-09-08 00:00:00+00:00,0.6996013
1950-09-09 00:00:00+00:00,0.4658729
1950-09-10 00:00:00+00:00,0.39838126
1950-09-11 00:00:00+00:00,0.3475636
1950-09-12 00:00:00+00:00,0.29704404
1950-09-13 00:00:00+00:00,0.2652025
1950-09-14 00:00:00+00:00,0.23315546
1950-09-15 00:00:00+00:00,0.20518072
1950-09-16 00:00:00+00:00,0.16965319
1950-09-17 00:00:00+00:00,0.14980114
1950-09-18 00:00:00+00:00,0.12764427
1950-09-19 00:00:00+00:00,0.10965825
1950-09-20 00:00:00+00:00,0.101381294
1950-09-21 00:00:00+00:00,0.09178179
1950-09-22 00:00:00+00:00,0.07707415
1950-09-23 00:00:00+00:00,0.069868036
1950-09-24 00:00:00+00:00,0.06085767
1950-09-25 00:00:00+00:00,0.04994336
1950-09-26 00:00:00+00:00,0.04230802
1950-09-27 00:00:00+00:00,0.03550697
1950-09-28 00:00:00+00:00,0.030086447
1950-09-29 00:00:00+00:00,0.024338996
1950-09-30 00:00:00+00:00,0.018965732
1950-10-01 00:00:00+00:00,0.014083789
1950-10-02 00:00:00+00:00,0.013307509
1950-10-03 00:00:00+00:00,0.012643033
1950-10-04 00:00:00+00:00,0.011742466
1950-10-05 00:00:00+00:00,0.010134093
1950-10-06 00:00:00+00:00,0.0077181067
1950-10-07 00:00:00+00:00,0.007271179
1950-10-08 00:00:00+00:00,0.0068683755
1950-10-09 00:00:00+00:00,0.005437158
1950-10-10 00:00:00+00:00,0.0051487824
1950-10-11 00:00:00+00:00,0.0050964383
1950-10-12 00:00:00+00:00,0.0045196516
1950-10-13 00:00:00+00:00,0.0038002366
1950-10-14 00:00:00+00:00,0.002925758
1950-10-15 00:00:00+00:00,0.0021488303
1950-10-16 00:00:00+00:00,0.0016761138
1950-10-17 00:00:00+00:00,0.0014137115
1950-10-18 00:00:00+00:00,0.0013095357
1950-10-19 00:00:00+00:00,0.0011927154
1950-10-20 00:00:00+00:00,0.0009331095
1950-10-21 00:00:00+00:00,0.0006723201
1950-10-22 00:00:00+00:00,0.0007037556
1950-10-23 00:00:00+00:00,0.0007019648
1950-10-24 00:00:00+00:00,0.020576803
1950-10-25 00:00:00+00:00,0.0020428086
1950-10-26 00:00:00+00:00,0.032028563
1950-10-27 00:00:00+00:00,0.3027562
1950-10-28 00:00:00+00:00,0.025212234
1950-10-29 00:00:00+00:00,0.01600241
1950-10-30 00:00:00+00:00,0.017583255
1950-10-31 00:00:00+00:00,0.047894213
1950-11-01 00:00:00+00:00,0.015301143
1950-11-02 00:00:00+00:00,0.018373525
1950-11-03 00:00:00+00:00,0.011318481
1950-11-04 00:00:00+00:00,0.010861608
1950-11-05 00:00:00+00:00,0.009849492
1950-11-06 00:00:00+00:00,0.00898996
1950-11-07 00:00:00+00:00,0.008771225
1950-11-08 00:00:00+00:00,0.008505565
1950-11-09 00:00:00+00:00,0.00681325
1950-11-10 00:00:00+00:00,0.004606552
1950-11-11 00:00:00+00:00,0.004389375
1950-11-12 00:00:00+00:00,0.24821907
1950-11-13 00:00:00+00:00,0.86904407
1950-11-14 00:00:00+00:00,1.1532182
1950-11-15 00:00:00+00:00,0.1622994
1950-11-16 00:00:00+00:00,0.09929594
1950-11-17 00:00:00+00:00,0.09721204
1950-11-18 00:00:00+00:00,0.12989461
1950-11-19 00:00:00+00:00,0.306708
1950-11-20 00:00:00+00:00,0.21386465
1950-11-21 00:00:00+00:00,0.12358158
1950-11-22 00:00:00+00:00,0.11076106
1950-11-23 00:00:00+00:00,0.10569988
1950-11-24 00:00:00+00:00,0.10731817
1950-11-25 00:00:00+00:00,0.11359585
1950-11-26 00:00:00+00:00,0.09266937
1950-11-27 00:00:00+00:00,0.086354755
1950-11-28 00:00:00+00:00,0.089252844
1950-11-29 00:00:00+00:00,0.07680053
1950-11-30 00:00:00+00:00,0.06262499
1950-12-01 00:00:00+00:00,0.045210764
1950-12-02 00:00:00+00:00,0.036208402
1950-12-03 00:00:00+00:00,0.041230414
1950-12-04 00:00:00+00:00,0.051137585
1950-12-05 00:00:00+00:00,0.04555172
1950-12-06 00:00:00+00:00,0.045920663
1950-12-07 00:00:00+00:00,0.045691144
1950-12-08 00:00:00+00:00,0.049885966
1950-12-09 00:00:00+00:00,0.06009055
