time,soilmoist1_month_CanESM2_rcp85
2027-12-31 00:00:00+00:00,12.483253
2028-01-31 00:00:00+00:00,12.082166
2028-02-29 00:00:00+00:00,9.69923
2028-03-31 00:00:00+00:00,8.851144
2028-04-30 00:00:00+00:00,6.911506
2028-05-31 00:00:00+00:00,5.4223433
2028-06-30 00:00:00+00:00,5.510437
2028-07-31 00:00:00+00:00,5.584232
2028-08-31 00:00:00+00:00,5.710317
2028-09-30 00:00:00+00:00,5.3260794
2028-10-31 00:00:00+00:00,5.623328
2028-11-30 00:00:00+00:00,5.8822165
2028-12-31 00:00:00+00:00,6.4477673
2029-01-31 00:00:00+00:00,7.511183
2029-02-28 00:00:00+00:00,6.444432
2029-03-31 00:00:00+00:00,7.064094
2029-04-30 00:00:00+00:00,5.4598722
2029-05-31 00:00:00+00:00,5.503556
2029-06-30 00:00:00+00:00,5.338742
2029-07-31 00:00:00+00:00,5.301988
2029-08-31 00:00:00+00:00,6.5055137
2029-09-30 00:00:00+00:00,6.653266
2029-10-31 00:00:00+00:00,6.0086074
2029-11-30 00:00:00+00:00,6.310739
2029-12-31 00:00:00+00:00,6.544228
2030-01-31 00:00:00+00:00,17.635015
2030-02-28 00:00:00+00:00,18.204832
2030-03-31 00:00:00+00:00,13.265326
2030-04-30 00:00:00+00:00,7.069802
2030-05-31 00:00:00+00:00,6.6152205
2030-06-30 00:00:00+00:00,5.5588675
2030-07-31 00:00:00+00:00,6.8110332
2030-08-31 00:00:00+00:00,6.4951696
2030-09-30 00:00:00+00:00,7.1723704
2030-10-31 00:00:00+00:00,6.989423
2030-11-30 00:00:00+00:00,7.1812544
2030-12-31 00:00:00+00:00,9.125994
2031-01-31 00:00:00+00:00,9.915959
2031-02-28 00:00:00+00:00,13.7465105
2031-03-31 00:00:00+00:00,15.9332485
2031-04-30 00:00:00+00:00,9.187442
2031-05-31 00:00:00+00:00,10.590955
2031-06-30 00:00:00+00:00,5.4837127
2031-07-31 00:00:00+00:00,5.903115
2031-08-31 00:00:00+00:00,7.580298
2031-09-30 00:00:00+00:00,8.447776
2031-10-31 00:00:00+00:00,8.240871
2031-11-30 00:00:00+00:00,13.401981
2031-12-31 00:00:00+00:00,15.229588
2032-01-31 00:00:00+00:00,18.792927
2032-02-29 00:00:00+00:00,21.171446
2032-03-31 00:00:00+00:00,11.858054
2032-04-30 00:00:00+00:00,6.3172693
2032-05-31 00:00:00+00:00,5.7764316
2032-06-30 00:00:00+00:00,5.4530845
2032-07-31 00:00:00+00:00,6.2294683
2032-08-31 00:00:00+00:00,5.843433
2032-09-30 00:00:00+00:00,5.48363
2032-10-31 00:00:00+00:00,5.639199
2032-11-30 00:00:00+00:00,6.191553
2032-12-31 00:00:00+00:00,6.160979
2033-01-31 00:00:00+00:00,12.810355
2033-02-28 00:00:00+00:00,18.09864
2033-03-31 00:00:00+00:00,11.447617
2033-04-30 00:00:00+00:00,9.884418
2033-05-31 00:00:00+00:00,5.8858395
2033-06-30 00:00:00+00:00,5.354228
2033-07-31 00:00:00+00:00,5.594139
2033-08-31 00:00:00+00:00,5.475216
2033-09-30 00:00:00+00:00,5.3227324
2033-10-31 00:00:00+00:00,5.3448634
2033-11-30 00:00:00+00:00,5.397639
2033-12-31 00:00:00+00:00,5.6432347
2034-01-31 00:00:00+00:00,5.535783
2034-02-28 00:00:00+00:00,10.68321
2034-03-31 00:00:00+00:00,7.162893
2034-04-30 00:00:00+00:00,8.124523
2034-05-31 00:00:00+00:00,5.5342727
2034-06-30 00:00:00+00:00,5.426397
2034-07-31 00:00:00+00:00,5.444139
2034-08-31 00:00:00+00:00,8.801847
2034-09-30 00:00:00+00:00,6.243721
2034-10-31 00:00:00+00:00,5.3498516
2034-11-30 00:00:00+00:00,7.9783463
2034-12-31 00:00:00+00:00,8.286759
2035-01-31 00:00:00+00:00,18.213383
2035-02-28 00:00:00+00:00,18.14849
2035-03-31 00:00:00+00:00,14.093655
2035-04-30 00:00:00+00:00,8.747438
2035-05-31 00:00:00+00:00,5.5169935
2035-06-30 00:00:00+00:00,5.3237686
2035-07-31 00:00:00+00:00,8.150935
2035-08-31 00:00:00+00:00,10.349342
2035-09-30 00:00:00+00:00,6.257995
2035-10-31 00:00:00+00:00,5.4653516
2035-11-30 00:00:00+00:00,7.1204123
2035-12-31 00:00:00+00:00,6.7410727
2036-01-31 00:00:00+00:00,5.8548846
2036-02-29 00:00:00+00:00,8.888518
2036-03-31 00:00:00+00:00,12.611859
2036-04-30 00:00:00+00:00,6.020067
2036-05-31 00:00:00+00:00,5.3753386
2036-06-30 00:00:00+00:00,5.349379
2036-07-31 00:00:00+00:00,6.5958757
2036-08-31 00:00:00+00:00,8.811036
2036-09-30 00:00:00+00:00,8.383805
2036-10-31 00:00:00+00:00,7.016115
2036-11-30 00:00:00+00:00,6.439449
2036-12-31 00:00:00+00:00,6.149752
2037-01-31 00:00:00+00:00,8.7380295
2037-02-28 00:00:00+00:00,14.252267
2037-03-31 00:00:00+00:00,12.13887
2037-04-30 00:00:00+00:00,8.328487
2037-05-31 00:00:00+00:00,5.631877
2037-06-30 00:00:00+00:00,5.586963
2037-07-31 00:00:00+00:00,6.6107154
2037-08-31 00:00:00+00:00,7.116909
2037-09-30 00:00:00+00:00,7.1997967
2037-10-31 00:00:00+00:00,6.8622446
2037-11-30 00:00:00+00:00,8.484606
2037-12-31 00:00:00+00:00,6.4366198
2038-01-31 00:00:00+00:00,13.304245
2038-02-28 00:00:00+00:00,16.251574
2038-03-31 00:00:00+00:00,14.011781
2038-04-30 00:00:00+00:00,6.068821
2038-05-31 00:00:00+00:00,5.5258207
2038-06-30 00:00:00+00:00,5.367089
2038-07-31 00:00:00+00:00,5.6763115
2038-08-31 00:00:00+00:00,7.7155027
2038-09-30 00:00:00+00:00,7.2315836
2038-10-31 00:00:00+00:00,6.5265727
2038-11-30 00:00:00+00:00,8.467586
2038-12-31 00:00:00+00:00,7.8858833
2039-01-31 00:00:00+00:00,15.702188
2039-02-28 00:00:00+00:00,11.896089
2039-03-31 00:00:00+00:00,7.6477246
2039-04-30 00:00:00+00:00,6.6153007
2039-05-31 00:00:00+00:00,5.375976
2039-06-30 00:00:00+00:00,5.3730755
2039-07-31 00:00:00+00:00,6.0818934
2039-08-31 00:00:00+00:00,6.668166
2039-09-30 00:00:00+00:00,5.9661827
2039-10-31 00:00:00+00:00,5.5855017
2039-11-30 00:00:00+00:00,5.9281793
2039-12-31 00:00:00+00:00,5.671154
2040-01-31 00:00:00+00:00,11.957378
2040-02-29 00:00:00+00:00,11.099375
2040-03-31 00:00:00+00:00,12.165467
2040-04-30 00:00:00+00:00,6.8932233
2040-05-31 00:00:00+00:00,5.4526353
2040-06-30 00:00:00+00:00,5.433744
