time,soilmoist1_month_MIROC5_rcp85
2026-07-31 00:00:00+00:00,5.8397894
2026-08-31 00:00:00+00:00,5.3357887
2026-09-30 00:00:00+00:00,5.8832183
2026-10-31 00:00:00+00:00,9.6226225
2026-11-30 00:00:00+00:00,8.166201
2026-12-31 00:00:00+00:00,15.751995
2027-01-31 00:00:00+00:00,16.802
2027-02-28 00:00:00+00:00,11.6613245
2027-03-31 00:00:00+00:00,12.624986
2027-04-30 00:00:00+00:00,7.0003524
2027-05-31 00:00:00+00:00,6.2722874
2027-06-30 00:00:00+00:00,5.4393067
2027-07-31 00:00:00+00:00,5.5171885
2027-08-31 00:00:00+00:00,6.310444
2027-09-30 00:00:00+00:00,6.0072393
2027-10-31 00:00:00+00:00,6.345245
2027-11-30 00:00:00+00:00,5.573438
2027-12-31 00:00:00+00:00,15.071269
2028-01-31 00:00:00+00:00,14.401224
2028-02-29 00:00:00+00:00,13.527529
2028-03-31 00:00:00+00:00,9.402723
2028-04-30 00:00:00+00:00,6.3673835
2028-05-31 00:00:00+00:00,5.8402905
2028-06-30 00:00:00+00:00,5.389839
2028-07-31 00:00:00+00:00,5.5710273
2028-08-31 00:00:00+00:00,5.387803
2028-09-30 00:00:00+00:00,6.7361126
2028-10-31 00:00:00+00:00,5.9721303
2028-11-30 00:00:00+00:00,7.7589498
2028-12-31 00:00:00+00:00,9.291345
2029-01-31 00:00:00+00:00,18.733168
2029-02-28 00:00:00+00:00,21.55176
2029-03-31 00:00:00+00:00,16.1482
2029-04-30 00:00:00+00:00,8.007923
2029-05-31 00:00:00+00:00,7.581587
2029-06-30 00:00:00+00:00,5.5929585
2029-07-31 00:00:00+00:00,6.663356
2029-08-31 00:00:00+00:00,6.6471734
2029-09-30 00:00:00+00:00,5.823236
2029-10-31 00:00:00+00:00,5.427681
2029-11-30 00:00:00+00:00,9.24224
2029-12-31 00:00:00+00:00,11.747688
2030-01-31 00:00:00+00:00,11.943805
2030-02-28 00:00:00+00:00,12.663229
2030-03-31 00:00:00+00:00,9.2312155
2030-04-30 00:00:00+00:00,6.8675528
2030-05-31 00:00:00+00:00,6.4578075
2030-06-30 00:00:00+00:00,5.7104297
2030-07-31 00:00:00+00:00,6.649483
2030-08-31 00:00:00+00:00,7.364135
2030-09-30 00:00:00+00:00,5.62019
2030-10-31 00:00:00+00:00,7.0345335
2030-11-30 00:00:00+00:00,5.6452293
2030-12-31 00:00:00+00:00,5.845234
2031-01-31 00:00:00+00:00,9.223524
2031-02-28 00:00:00+00:00,7.2653165
2031-03-31 00:00:00+00:00,6.8588924
2031-04-30 00:00:00+00:00,11.503706
2031-05-31 00:00:00+00:00,5.526864
2031-06-30 00:00:00+00:00,5.3462157
2031-07-31 00:00:00+00:00,5.612185
2031-08-31 00:00:00+00:00,7.283925
2031-09-30 00:00:00+00:00,9.329279
2031-10-31 00:00:00+00:00,7.1837873
2031-11-30 00:00:00+00:00,5.64952
2031-12-31 00:00:00+00:00,8.177461
2032-01-31 00:00:00+00:00,11.4790325
2032-02-29 00:00:00+00:00,9.693321
2032-03-31 00:00:00+00:00,10.119363
2032-04-30 00:00:00+00:00,10.792949
2032-05-31 00:00:00+00:00,5.9895024
2032-06-30 00:00:00+00:00,5.3393536
2032-07-31 00:00:00+00:00,6.5194507
2032-08-31 00:00:00+00:00,9.026673
2032-09-30 00:00:00+00:00,6.3747215
2032-10-31 00:00:00+00:00,9.230155
2032-11-30 00:00:00+00:00,10.5983715
2032-12-31 00:00:00+00:00,12.354786
2033-01-31 00:00:00+00:00,14.1073885
2033-02-28 00:00:00+00:00,18.217064
2033-03-31 00:00:00+00:00,14.042732
2033-04-30 00:00:00+00:00,7.1816783
2033-05-31 00:00:00+00:00,5.4993362
2033-06-30 00:00:00+00:00,5.3129416
2033-07-31 00:00:00+00:00,5.89759
2033-08-31 00:00:00+00:00,6.44635
2033-09-30 00:00:00+00:00,5.874581
2033-10-31 00:00:00+00:00,5.8572664
2033-11-30 00:00:00+00:00,7.2767987
2033-12-31 00:00:00+00:00,18.631578
2034-01-31 00:00:00+00:00,16.943754
2034-02-28 00:00:00+00:00,15.481859
2034-03-31 00:00:00+00:00,15.551237
2034-04-30 00:00:00+00:00,7.7833586
2034-05-31 00:00:00+00:00,5.4637737
2034-06-30 00:00:00+00:00,5.399642
2034-07-31 00:00:00+00:00,5.6447864
2034-08-31 00:00:00+00:00,5.588143
2034-09-30 00:00:00+00:00,5.302755
2034-10-31 00:00:00+00:00,5.541448
2034-11-30 00:00:00+00:00,7.1832523
2034-12-31 00:00:00+00:00,12.823003
2035-01-31 00:00:00+00:00,8.7796
2035-02-28 00:00:00+00:00,9.690972
2035-03-31 00:00:00+00:00,10.482063
2035-04-30 00:00:00+00:00,10.884397
2035-05-31 00:00:00+00:00,5.794412
2035-06-30 00:00:00+00:00,5.512548
2035-07-31 00:00:00+00:00,5.3127904
2035-08-31 00:00:00+00:00,5.327171
2035-09-30 00:00:00+00:00,5.7830324
2035-10-31 00:00:00+00:00,7.2280793
2035-11-30 00:00:00+00:00,7.396652
2035-12-31 00:00:00+00:00,6.0255475
2036-01-31 00:00:00+00:00,7.1204753
2036-02-29 00:00:00+00:00,6.5922403
2036-03-31 00:00:00+00:00,7.2598925
2036-04-30 00:00:00+00:00,6.4286604
2036-05-31 00:00:00+00:00,5.545336
2036-06-30 00:00:00+00:00,5.308317
2036-07-31 00:00:00+00:00,7.14296
2036-08-31 00:00:00+00:00,11.611353
2036-09-30 00:00:00+00:00,6.5714765
2036-10-31 00:00:00+00:00,6.6104074
2036-11-30 00:00:00+00:00,13.284925
2036-12-31 00:00:00+00:00,14.011587
2037-01-31 00:00:00+00:00,14.13488
2037-02-28 00:00:00+00:00,15.956171
2037-03-31 00:00:00+00:00,8.345404
2037-04-30 00:00:00+00:00,6.314782
2037-05-31 00:00:00+00:00,5.4667726
2037-06-30 00:00:00+00:00,5.308475
2037-07-31 00:00:00+00:00,5.43333
2037-08-31 00:00:00+00:00,5.646527
2037-09-30 00:00:00+00:00,6.3256974
2037-10-31 00:00:00+00:00,5.3550825
2037-11-30 00:00:00+00:00,7.6557994
2037-12-31 00:00:00+00:00,7.760598
2038-01-31 00:00:00+00:00,6.817901
2038-02-28 00:00:00+00:00,5.984091
2038-03-31 00:00:00+00:00,7.4054427
2038-04-30 00:00:00+00:00,6.3320465
2038-05-31 00:00:00+00:00,5.8458557
2038-06-30 00:00:00+00:00,5.333854
2038-07-31 00:00:00+00:00,5.7328873
2038-08-31 00:00:00+00:00,7.410453
2038-09-30 00:00:00+00:00,10.792438
2038-10-31 00:00:00+00:00,6.010363
2038-11-30 00:00:00+00:00,6.346133
2038-12-31 00:00:00+00:00,9.019874
2039-01-31 00:00:00+00:00,18.643736
2039-02-28 00:00:00+00:00,17.577335
2039-03-31 00:00:00+00:00,13.151364
2039-04-30 00:00:00+00:00,7.027043
2039-05-31 00:00:00+00:00,5.755164
2039-06-30 00:00:00+00:00,5.6992164
2039-07-31 00:00:00+00:00,6.17192
2039-08-31 00:00:00+00:00,5.715704
2039-09-30 00:00:00+00:00,8.70458
2039-10-31 00:00:00+00:00,6.514671
2039-11-30 00:00:00+00:00,6.478447
2039-12-31 00:00:00+00:00,8.903647
2040-01-31 00:00:00+00:00,12.130443
2040-02-29 00:00:00+00:00,8.345802
2040-03-31 00:00:00+00:00,13.703575
2040-04-30 00:00:00+00:00,8.294713
2040-05-31 00:00:00+00:00,5.9605527
2040-06-30 00:00:00+00:00,5.3349123
2040-07-31 00:00:00+00:00,5.8657675
2040-08-31 00:00:00+00:00,6.0449038
2040-09-30 00:00:00+00:00,11.314804
2040-10-31 00:00:00+00:00,7.8542724
2040-11-30 00:00:00+00:00,15.352189
2040-12-31 00:00:00+00:00,10.3950205
2041-01-31 00:00:00+00:00,11.878975
2041-02-28 00:00:00+00:00,14.825738
2041-03-31 00:00:00+00:00,8.649561
2041-04-30 00:00:00+00:00,6.1455646
2041-05-31 00:00:00+00:00,5.430556
2041-06-30 00:00:00+00:00,5.325192
2041-07-31 00:00:00+00:00,6.18265
2041-08-31 00:00:00+00:00,5.803408
2041-09-30 00:00:00+00:00,5.695846
2041-10-31 00:00:00+00:00,5.4399185
2041-11-30 00:00:00+00:00,5.8102036
2041-12-31 00:00:00+00:00,8.608633
2042-01-31 00:00:00+00:00,14.712399
2042-02-28 00:00:00+00:00,15.0071745
2042-03-31 00:00:00+00:00,10.515092
2042-04-30 00:00:00+00:00,6.681182
2042-05-31 00:00:00+00:00,5.413842
2042-06-30 00:00:00+00:00,5.3096223
2042-07-31 00:00:00+00:00,5.298246
2042-08-31 00:00:00+00:00,7.363468
2042-09-30 00:00:00+00:00,5.936669
2042-10-31 00:00:00+00:00,5.6002126
2042-11-30 00:00:00+00:00,6.382588
2042-12-31 00:00:00+00:00,9.812018
2043-01-31 00:00:00+00:00,16.244663
2043-02-28 00:00:00+00:00,17.790777
2043-03-31 00:00:00+00:00,10.591055
2043-04-30 00:00:00+00:00,5.8952394
2043-05-31 00:00:00+00:00,6.348727
2043-06-30 00:00:00+00:00,5.560426
2043-07-31 00:00:00+00:00,5.3147163
