boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,High (RCP 8.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2075,54.9289627075,61.4988937378,,59.2933349609,57.7222900391,60.084022522,58.1153793335
2076,55.2432250977,61.730430603,,61.2479095459,59.4518661499,60.9085998535,57.7615127563
2077,55.2852478027,61.6550102234,,61.4346237183,58.2143096924,61.2033081055,58.1380119324
2078,54.6632537842,63.2125396729,,62.6572952271,59.234336853,61.6286430359,58.2108535767
2079,56.3522949219,62.9220085144,,62.6479568481,60.1781730652,62.4777755737,58.7680206299
2080,55.8413772583,62.6362533569,,59.9708061218,59.4114379883,61.3675537109,56.5420837402
2081,56.1085624695,63.4336395264,,63.2907104492,60.2268981934,60.8723983765,59.0711364746
2082,54.4520988464,63.4533615112,,62.4911270142,59.0491104126,61.5309753418,58.5246734619
2083,54.6479873657,62.8582878113,,62.1245117188,59.5365142822,62.1431884766,58.9002990723
2084,56.2339172363,63.1312408447,,61.8628692627,58.5040206909,63.1283340454,58.6843643188
2085,55.8992729187,64.4124679565,,61.9626846313,60.3921890259,61.4173736572,56.6874847412
2086,55.9502487183,62.9012985229,,62.1242904663,60.814666748,62.412902832,58.4109115601
2087,56.1003227234,62.6178512573,,60.8913497925,60.3276443481,61.6137542725,59.0929985046
2088,54.8945159912,63.5430107117,,63.4586906433,59.1424369812,62.3874664307,60.0065116882
2089,56.9700012207,62.9420585632,,62.4594268799,60.5745048523,61.6520462036,60.0856704712
2090,56.3196640015,63.5976676941,,62.5909881592,61.5602531433,62.6379547119,58.4889144897
2091,54.6764373779,64.4942016602,,60.770942688,61.5461883545,60.9693527222,59.3598556519
2092,56.3569641113,64.599899292,,61.4785690308,60.5049591064,62.1076469421,59.477519989
2093,57.3622665405,63.7536735535,,63.6056900024,59.6342926025,62.7671012878,58.5635681152
2094,55.7099227905,65.5157699585,,62.6760253906,61.2642822266,61.6553955078,60.5053482056
2095,56.1499252319,63.8406829834,,61.9720230103,60.1796035767,62.9308547974,58.3747673035
2096,56.3032951355,65.2251281738,,63.7854766846,61.3104248047,62.5045852661,60.3295669556
2097,56.4042053223,63.8202514648,,62.5176010132,60.6447601318,61.4390716553,60.3648300171
2098,56.7870254517,64.990234375,,64.9791412354,61.2421417236,64.0457992554,60.0188713074
2099,55.7996292114,64.2152099609,,63.2589569092,60.5326461792,62.2221794128,61.7456474304
2100,57.1872024536,66.393081665,,64.343963623,62.0322265625,,
