,date,airtemp,baseflow,ev,rainfall,runoff,sm,snowfall,snowwater,D0,D1,D2,D3,D4
248,1970-09-01,23.93815813333333,0.019160751333333333,0.12747241866666667,0.013637774333333333,0.00017372059999999997,6.0775256,0.0,0.0,45.6,13.0,0.0,0.0,0.0
249,1970-10-01,17.81548391935484,0.019003678129032257,0.02287838658387097,0.022044189713193545,0.00016169315261290322,5.372906722580645,1.1337753251612904e-05,0.0,34.6,11.2,0.0,0.0,0.0
250,1970-11-01,13.334049366666667,0.018898635733333332,0.228342535721,0.7787981601999999,0.025504220643,6.098388226666667,0.069393716814,0.14134858075666668,12.9,0.1,0.0,0.0,0.0
251,1970-12-01,7.411128232258064,0.02990751935483871,0.4088573293548387,0.5872246332441936,0.029238668251612903,13.178870870967742,0.18806246388903228,3.3056032548387098,27.2,11.4,0.0,0.0,0.0
252,1971-01-01,8.442318770967741,0.04066691770967742,0.2765945933870968,0.06796176235922581,0.013628705146774193,11.385722274193547,0.029789877348887096,4.378145267741935,47.3,32.2,5.2,0.1,0.0
253,1971-02-01,10.684023717857142,0.03692169632142857,0.2851627612142857,0.16457291085357145,0.010326274186785714,7.914564207142858,0.016962349262142858,1.402064775,58.0,44.0,18.8,4.3,0.0
254,1971-03-01,13.375302680645161,0.03715469419354839,0.2607754314516129,0.091664811683,0.007167892651258064,6.759564422580645,0.01228251920935484,0.6983378712903227,79.1,55.1,30.9,15.6,0.3
255,1971-04-01,15.604362216666665,0.0273112514,0.233234745,0.11924859071333334,0.003111901573,5.91320266,0.016050475321666667,0.19204318933333334,92.0,72.9,34.5,22.3,10.0
256,1971-05-01,18.344940806451614,0.023184623870967744,0.46847624612903227,0.4395018925614839,0.007190793589999999,6.740387783870968,0.007109406985032258,0.13483767970967742,97.1,83.0,51.3,28.2,0.1
257,1971-06-01,25.290366133333336,0.020850956966666667,0.16172160459999999,0.002119536716666667,0.0006791607647666667,5.691626246666667,4.5577888666666656e-05,0.04751385762,93.6,77.1,42.1,20.6,0.0
258,1971-07-01,30.3325195483871,0.018668970774193546,0.1511281677096774,0.14301863542051613,0.0016989933197419356,5.614580058064516,0.0,0.000387100235483871,87.1,71.3,44.4,24.8,6.2
