boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,High (RCP 8.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2001,77.3176727295,81.4969177246,79.3422698975,80.3674163818,79.2154998779,80.6960144043,80.9151916504
2002,77.8184204102,82.3435821533,79.5382843018,80.8416442871,81.1060791016,82.3405075073,79.6221008301
2003,77.7291564941,82.1418762207,79.1737442017,78.4297637939,79.9864120483,80.4833221436,78.8493804932
2004,77.8140869141,82.6462554932,78.2827987671,80.1687850952,80.7549057007,79.8075561523,78.93019104
2005,77.1034393311,83.7260437012,78.1572723389,78.9900054932,83.7260437012,80.5097503662,78.0694580078
2006,77.6558837891,82.5702362061,79.3762893677,79.2710418701,80.4960174561,80.669708252,79.1630401611
2007,77.4559326172,82.5995635986,,81.7882232666,79.7078552246,80.2186584473,81.2727966309
2008,76.6718902588,82.4324645996,,81.3509140015,80.3618164062,80.2161407471,79.5286712646
2009,77.3946838379,82.0920562744,,81.7581787109,80.3467102051,78.7235336304,78.8257064819
2010,77.2733383179,82.2364120483,,79.9057769775,80.2116851807,78.183555603,81.428314209
2011,76.8645324707,84.1391296387,,81.1363525391,79.3094329834,80.0715026855,79.6207275391
2012,78.5206756592,84.3025054932,,82.0068511963,81.026763916,82.5051422119,80.7599029541
2013,77.6418762207,82.8777923584,,80.7922058105,78.9512786865,81.862487793,77.6571502686
2014,76.7923583984,83.9096832275,,79.8674850464,80.0769348145,82.1303939819,80.3300628662
2015,77.8496246338,83.4804992676,,82.3156738281,78.5786743164,78.644317627,81.9325866699
2016,77.3902893066,82.80078125,,79.1801757812,79.5611877441,80.495513916,82.181427002
2017,78.0865478516,84.0284423828,,81.7162628174,80.8584518433,80.0965499878,80.7350158691
2018,77.8507232666,83.7097320557,,81.6086578369,79.8675994873,80.987701416,82.1637878418
2019,78.3943328857,84.1025543213,,84.1025543213,79.1960601807,82.0429382324,79.1298675537
2020,79.0503768921,83.6792449951,,82.2378997803,80.0284347534,83.2182006836,82.6421966553
2021,78.3404998779,84.791557312,,82.0327301025,79.669128418,79.5945281982,81.4415512085
2022,79.1222839355,84.5984191895,,82.6441650391,80.5144195557,83.1734924316,80.9265670776
2023,77.5198669434,84.3034362793,,82.7108612061,80.6426239014,81.9603271484,80.4299850464
2024,78.0935211182,84.3717651367,,83.4339752197,80.2631072998,81.3550872803,80.1298980713
2025,78.6735992432,83.689956665,,81.3576660156,81.9865875244,82.6015930176,81.8132171631
2026,79.1788635254,84.5828704834,,83.7859802246,79.2239074707,81.8313446045,83.0738449097
2027,78.1416473389,83.9867553711,,79.5657958984,80.2407455444,82.6394958496,81.2722473145
2028,78.770614624,86.0033493042,,82.7210693359,81.9805450439,81.5243835449,82.2027435303
2029,79.0620269775,84.5385437012,,84.1641235352,80.508102417,82.146270752,80.1852111816
2030,78.7834625244,85.1131286621,,83.3787689209,80.8858032227,82.1144104004,83.0271530151
2031,78.7837982178,84.8677978516,,81.4106292725,80.4109191895,82.8323059082,83.7819671631
2032,79.504776001,85.5620880127,,81.3492126465,79.6468811035,83.7258834839,81.5596008301
2033,78.0194702148,84.962890625,,82.8454437256,81.2881317139,81.2395629883,81.0225372314
2034,79.824798584,86.2043457031,,84.7422332764,81.4417724609,84.0443725586,81.6020050049
2035,78.9879760742,85.5800476074,,82.1338500977,82.6547164917,83.4982452393,83.6741333008
2036,79.2579040527,85.1597137451,,84.9596481323,81.1119613647,81.4656677246,84.321395874
2037,80.0610656738,85.1468048096,,83.6649093628,81.3190536499,83.8729400635,83.0903778076
2038,78.7792358398,85.5448303223,,83.3021392822,81.1771697998,83.8224029541,84.2990951538
2039,79.8848419189,85.1471862793,,84.8583526611,80.7936325073,82.4028549194,82.6426315308
2040,81.1461334229,87.2523345947,,84.5812835693,82.2873840332,82.9543151855,83.0006256104
2041,79.8193054199,85.5326385498,,83.9086914062,82.0922698975,84.1584701538,84.0967254639
2042,80.0374984741,86.4098434448,,83.6336517334,82.5093078613,84.1184844971,83.0687408447
2043,79.5820617676,85.632232666,,84.4419174194,81.52784729,83.747467041,83.6243743896
2044,79.0433502197,85.4423828125,,84.5730895996,81.369430542,83.198928833,85.0839080811
