0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
84.2,d_19260701,15.8,0.1,0,0,0,0,0,0,0,0,0
87.8,d_19260801,12.2,0,0,0,0,0,0,0,0,0,0
99.9,d_19260901,0.1,0,0,0,0,0,0,0,0,0,0
91.6,d_19261001,1.1,0,0,0,0,0,7.3,0,0,0,0
48.4,d_19261101,0,0,0,0,0,0,51.6,26.5,4,0,0
3.1,d_19261201,0,0,0,0,0,0,96.8,71.3,29,1.3,0
80.5,d_19270101,2.2,0,0,0,0,0,17.3,6.2,0,0,0
18,d_19270201,0,0,0,0,0,0,82,62.6,13.7,6.4,0
25.1,d_19270301,0,0,0,0,0,0,75,46.9,12,4.3,0
19.5,d_19270401,0,0,0,0,0,0,80.5,53.5,13.9,7.4,0
20.8,d_19270501,2.7,0,0,0,0,0,76.5,55.2,16.4,8.9,0
21.1,d_19270601,0.3,0,0,0,0,0,78.5,62.5,17.5,10.1,0.3
16.4,d_19270701,0,0,0,0,0,0,83.7,74.8,24.5,15.8,9.4
36.4,d_19270801,0,0,0,0,0,0,63.6,51,20.3,12.3,4.8
47.6,d_19270901,0,0,0,0,0,0,52.3,21.1,0.4,0,0
0,d_19271001,0,0,0,0,0,0,100.1,89.1,31.1,13.2,0.2
92,d_19271101,3.2,0,0,0,0,0,4.8,0,0,0,0
58.2,d_19271201,0,0,0,0,0,0,41.8,17.8,5.7,0,0
68.9,d_19280101,15.5,1.2,0,0,0,0,15.8,8.7,0,0,0
81.3,d_19280201,6.2,0.1,0,0,0,0,12.4,6.3,0,0,0
76.7,d_19280301,14.1,0.8,0,0,0,0,9.2,2.2,0,0,0
54.9,d_19280401,44.6,8.6,0,0,0,0,0.4,0,0,0,0
55.3,d_19280501,36,4.9,0,0,0,0,8.7,0,0,0,0
60.9,d_19280601,26.8,11.3,0,0,0,0,12.3,3.8,0,0,0
30.2,d_19280701,67.8,30.3,13.5,5.4,0,0,2.1,0,0,0,0
26.9,d_19280801,73.1,37.5,14.6,6.2,0,0,0,0,0,0,0
0,d_19280901,99.9,90.6,57.1,34.2,8.4,0,0,0,0,0,0
14,d_19281001,85.9,69.3,46.6,33.6,10.9,0,0,0,0,0,0
7.4,d_19281101,92.5,77.5,55.2,48.2,40.3,0,0,0,0,0,0
35.1,d_19281201,64.8,55.3,44.3,31.6,17.1,0,0,0,0,0,0
34.6,d_19290101,65.4,54.8,46,32.4,15.1,0,0,0,0,0,0
22.8,d_19290201,77.2,61.5,49.3,43.4,24.2,0,0,0,0,0,0
20.5,d_19290301,79.5,62,49.9,45.5,28.8,0,0,0,0,0,0
38.8,d_19290401,61.2,50.2,42.5,37.8,16.8,0,0,0,0,0,0
43.2,d_19290501,57,46.8,39.4,21.1,13.6,0,0,0,0,0,0
48.7,d_19290601,51.2,44.4,29.4,18.4,11.2,0,0,0,0,0,0
42.6,d_19290701,57.4,47.4,31.6,20.1,13.7,0,0,0,0,0,0
70.7,d_19290801,29.3,16.5,0.5,0,0,0,0,0,0,0,0
74.2,d_19290901,21.6,9.3,0,0,0,0,4.2,0,0,0,0
68.7,d_19291001,22.7,10,0,0,0,0,8.6,0.3,0,0,0
62,d_19291101,27.1,10.6,0,0,0,0,10.9,4.2,0,0,0
40.9,d_19291201,53.8,25.8,1.5,0,0,0,5.3,0.1,0,0,0
58.7,d_19300101,25.9,6.6,0,0,0,0,15.4,6.4,0,0,0
49.2,d_19300201,43.7,9,0,0,0,0,7,1.3,0,0,0
64.2,d_19300301,23,1.2,0,0,0,0,12.7,4.1,0,0,0
67.5,d_19300401,17.3,0,0,0,0,0,15.1,6.1,0,0,0
66.8,d_19300501,23.7,16.9,0,0,0,0,9.5,4.2,0,0,0
73.7,d_19300601,26.3,14,0,0,0,0,0,0,0,0,0
72.3,d_19300701,27.7,17,0,0,0,0,0,0,0,0,0
76.4,d_19300801,20.7,2.7,0,0,0,0,2.9,0,0,0,0
75.4,d_19300901,7.6,0,0,0,0,0,17,0.2,0,0,0
71,d_19301001,28.9,9.4,0,0,0,0,0,0,0,0,0
61.4,d_19301101,23.2,7.5,0,0,0,0,15.4,8.1,0,0,0
25.9,d_19301201,74.1,54.9,11.7,0,0,0,0,0,0,0,0
28.8,d_19310101,71.3,48.3,22.1,5.2,0,0,0,0,0,0,0
72.1,d_19310201,22.4,4.1,0,0,0,0,5.5,0,0,0,0
47.5,d_19310301,52.1,20.3,0.3,0,0,0,0.3,0,0,0,0
70.9,d_19310401,17.1,0.4,0,0,0,0,12,0.3,0,0,0
76.1,d_19310501,10,0,0,0,0,0,13.9,5.6,0,0,0
81.9,d_19310601,0.8,0,0,0,0,0,17.3,12,0,0,0
82.7,d_19310701,0.6,0,0,0,0,0,16.7,11.6,0,0,0
42.4,d_19310801,0.4,0,0,0,0,0,57.2,43.5,13.9,0,0
20.6,d_19310901,0,0,0,0,0,0,79.5,59.8,21.3,8.1,0
9.8,d_19311001,0,0,0,0,0,0,90.2,71.5,50.3,20.3,0.2
1.7,d_19311101,0,0,0,0,0,0,98.4,80.7,23.2,2.1,0
0,d_19311201,0,0,0,0,0,0,100,100,88.8,55.2,11.3
8,d_19320101,0,0,0,0,0,0,92,84.2,20.4,4.6,0
0,d_19320201,0,0,0,0,0,0,99.9,99.9,85.5,38.6,0.9
0.1,d_19320301,0,0,0,0,0,0,99.9,95.3,29.4,6.9,0
0.3,d_19320401,0,0,0,0,0,0,99.7,93.5,37.4,8.8,0
13.2,d_19320501,0,0,0,0,0,0,86.8,46.7,6.9,0,0
5.4,d_19320601,0,0,0,0,0,0,94.7,61,6.2,0,0
8.3,d_19320701,0,0,0,0,0,0,91.7,65.7,0,0,0
46.6,d_19320801,0,0,0,0,0,0,53.4,3.1,0,0,0
91,d_19320901,0,0,0,0,0,0,9,0.1,0,0,0
41.9,d_19321001,0,0,0,0,0,0,58.1,31,0.8,0,0
21.6,d_19321101,78.3,61.7,32.9,23.7,14.5,0,0,0,0,0,0
56.2,d_19321201,38.6,14.7,1.2,0,0,0,5.2,0,0,0,0
47.2,d_19330101,0,0,0,0,0,0,52.8,2.5,0,0,0
98.1,d_19330201,0.2,0,0,0,0,0,1.7,0,0,0,0
67.3,d_19330301,32.7,3.3,0,0,0,0,0,0,0,0,0
75.8,d_19330401,22.9,0.8,0,0,0,0,1.3,0,0,0,0
84.6,d_19330501,8.4,0.3,0,0,0,0,7,0.6,0,0,0
87.4,d_19330601,5.5,0.1,0,0,0,0,7.1,0.8,0,0,0
81.7,d_19330701,18.3,0,0,0,0,0,0,0,0,0,0
94,d_19330801,6.1,1.7,0,0,0,0,0,0,0,0,0
72.2,d_19330901,27.8,8.8,2.1,0,0,0,0,0,0,0,0
0,d_19331001,99.9,96.5,73.4,25.1,4.2,0,0,0,0,0,0
3.6,d_19331101,96.3,83.2,25.3,16.3,3.8,0,0,0,0,0,0
37.4,d_19331201,36.7,23.6,15.2,4.2,0,0,25.8,12.4,0,0,0
36,d_19340101,46.4,38.6,22.1,18.3,10,0,17.7,1.8,0,0,0
49,d_19340201,50.3,46.3,25.5,20.5,11.9,0,0.7,0,0,0,0
40.5,d_19340301,59.6,49.8,42.1,23.2,15.6,0,0,0,0,0,0
30,d_19340401,70,53.7,43.5,23.6,14.1,0,0,0,0,0,0
18.9,d_19340501,81,55.3,42.8,22.6,10.8,0,0,0,0,0,0
36.8,d_19340601,63.2,49.9,25.2,16.5,5.6,0,0,0,0,0,0
37.5,d_19340701,62.5,46.8,25.9,19.2,1.4,0,0,0,0,0,0
49.4,d_19340801,50.6,24.4,6.8,0.4,0,0,0,0,0,0,0
3.3,d_19340901,96.8,71.8,4.3,0,0,0,0,0,0,0,0
46.2,d_19341001,53.3,17.5,0.4,0,0,0,0.6,0,0,0,0
73.2,d_19341101,23,9.3,0.6,0,0,0,3.7,0.1,0,0,0
36.8,d_19341201,0,0,0,0,0,0,63.2,29.2,2.5,0,0
19,d_19350101,0,0,0,0,0,0,81,41.5,3.8,0,0
4.9,d_19350201,0,0,0,0,0,0,95,75.3,21.7,0,0
9.3,d_19350301,0,0,0,0,0,0,90.8,63.7,1,0,0
6.2,d_19350401,0,0,0,0,0,0,93.7,72.5,0.1,0,0
