boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,Medium (RCP 4.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2091,80.2786483765,87.3000640869,,83.9679718018,83.0316009521,85.6299285889,85.0781402588
2092,81.0253295898,87.107421875,,86.3168945312,84.5549163818,85.1472930908,85.389213562
2093,80.6867370605,87.1471405029,,83.9886169434,83.7303314209,85.422996521,85.9139709473
2094,80.4958496094,87.8914642334,,83.3844299316,84.8488464355,87.8913497925,84.4924545288
2095,80.4726715088,89.5620956421,,85.6495361328,82.8857040405,85.7612609863,86.2824020386
2096,80.4692077637,87.2113494873,,84.6187438965,83.8049850464,85.4422225952,84.8908233643
2097,80.6634979248,89.5662155151,,85.2574310303,83.4510650635,85.2061309814,85.5790023804
2098,79.1522216797,87.7567138672,,84.2703094482,83.7868041992,85.9624252319,84.9959564209
2099,80.2578277588,87.5125961304,,85.4923706055,84.0789337158,82.2422943115,84.1736907959
2100,80.779624939,88.6985168457,,85.7266082764,83.5428466797,,
