boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,Medium (RCP 4.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2026,51.564125061,56.9734039307,,55.5448532104,53.9802932739,53.7042045593,55.3943939209
2027,50.5009765625,56.1421279907,,54.6655654907,54.403427124,52.791847229,52.6809387207
2028,50.8987884521,56.4506759644,,55.9812316895,52.682258606,52.7584457397,53.6674575806
2029,51.8075790405,55.4539413452,,55.0108108521,52.4001274109,52.6776428223,53.2613983154
2030,50.5698051453,55.9726066589,,55.2140579224,55.1667022705,53.9010238647,52.9583435059
2031,51.0458450317,55.764251709,,55.588142395,54.8350830078,54.3215789795,54.2623672485
2032,50.9694900513,56.9603881836,,56.0257797241,53.5773124695,54.4744567871,54.2151794434
2033,50.8942871094,56.0158920288,,55.5290908813,55.4029083252,53.0273361206,52.923625946
2034,51.3670806885,56.5774612427,,55.373085022,54.8779296875,54.2678604126,54.472366333
2035,52.1668319702,55.5367240906,,54.8140411377,54.5898132324,52.976524353,54.3658561707
2036,51.6069717407,57.0751419067,,56.9795036316,55.0037231445,54.5474624634,54.9622497559
2037,51.7739639282,56.4065666199,,55.0160827637,54.8736419678,54.1793060303,55.2219657898
2038,51.6530570984,56.8413505554,,55.012840271,54.4511108398,53.9908370972,54.5840454102
2039,52.2379150391,55.9372329712,,55.7981414795,54.525100708,53.6723442078,55.1549491882
2040,51.8137321472,56.386516571,,54.5240020752,54.8692474365,53.7614974976,53.6572380066
2041,51.9627075195,56.6938591003,,56.1718444824,53.4049377441,55.9976577759,55.2198257446
2042,50.3039360046,56.599319458,,54.5979995728,54.0389556885,55.2913970947,55.7305221558
2043,52.1277770996,56.9892272949,,55.8492279053,55.750793457,56.2571525574,54.5542144775
2044,51.7183151245,57.4949264526,,55.0080070496,54.8290405273,55.1907653809,54.2142448425
2045,51.2237663269,57.0156478882,,56.94506073,54.0846061707,54.1803512573,55.0348129272
2046,52.0425224304,57.8974113464,,56.3743209839,53.8083572388,55.2907943726,54.3258132935
2047,52.0679016113,57.6777954102,,55.8207206726,55.7530441284,55.6788864136,56.5975646973
2048,52.2512054443,57.8143005371,,56.2329826355,55.9460220337,55.2804679871,54.3526725769
2049,52.6166687012,57.4835014343,,55.6986083984,55.2935409546,55.1788444519,53.5792922974
2050,50.8441314697,56.8520622253,,56.8111381531,56.0284194946,54.9420890808,55.0662345886
2051,51.092590332,56.8223991394,,55.578414917,54.9218215942,55.1504974365,54.2288017273
2052,51.4237747192,58.9188079834,,54.7387313843,55.3427047729,55.1305618286,55.0017471313
2053,51.381477356,57.9975509644,,56.2132072449,54.3907394409,55.4454269409,55.4566879272
2054,52.3036117554,57.9481658936,,57.0747528076,55.4794311523,55.1518173218,56.1338310242
2055,52.3311882019,58.7669219971,,58.7659378052,55.6607589722,55.0079498291,55.0451431274
2056,52.3026809692,57.712677002,,56.6988601685,54.0656547546,54.8353042603,55.1577529907
2057,51.6836013794,58.8210868835,,56.3274650574,54.3835449219,56.4664993286,54.6171684265
2058,52.3986968994,59.448348999,,58.4188766479,54.3137283325,56.0039749146,53.2419548035
2059,52.7914581299,58.1771240234,,58.0352897644,55.1999931335,56.9181442261,55.0549736023
2060,52.206161499,57.2430648804,,57.0116386414,56.763458252,54.4099121094,53.6891555786
2061,52.4524765015,58.056438446,,56.1935958862,54.7324676514,55.2603607178,56.1459159851
2062,52.8061294556,58.5560417175,,57.7448120117,55.4259262085,56.1403121948,54.0997695923
2063,52.8571014404,57.8882904053,,56.5930023193,55.6490020752,56.5423049927,54.5520172119
2064,51.7808837891,57.8567047119,,57.5665054321,55.3678092957,57.7468414307,55.4307060242
2065,53.133682251,57.9096069336,,56.2897262573,55.239982605,56.2891235352,55.2523956299
2066,52.79662323,58.6250915527,,56.3572921753,54.6784172058,57.246307373,54.9595031738
2067,52.6642913818,58.3535079956,,55.7389831543,54.6497955322,56.6329956055,57.5963287354
2068,50.33568573,57.6352233887,,56.6137695312,55.0174560547,56.7328605652,55.6467514038
2069,51.9115104675,58.5213775635,,57.3300247192,55.692565918,56.5498809814,55.479927063
2070,51.8996429443,58.4157485962,,56.3544387817,56.04429245,56.6516723633,57.4667472839
